'YP130', 'Verb143', 'SimVerb', 'SimVerb_mod', 'SimLexV', 'SimLexV_mod', 'MultiSimV', 'MultiSimV_mod', 'Average'
CW_vectors, 0.16439533026398218, 0.35920110825356744, 0.16487593929629374, 0.2453019940245252, 0.14656406655312285, 0.2798746044785811, 0.12399161162195602, 0.1765687584985962, 0.24112249926609172
dissect_ppmi, 0.3009151768704489, 0.3784492679707999, 0.19613659702811048, 0.2874461412285341, 0.05884843037419143, 0.18779554715437147, 0.20321267434933316, 0.2809962135850387, 0.28580576614694364
word2vec_skip, 0.376072845682619, 0.3655501250989653, 0.2163062082305352, 0.30661241812488343, 0.14541602655113678, 0.2423841258497059, 0.22032182898430783, 0.275368819232656, 0.3046652498105263
gensim_skip, 0.5411494405287133, 0.42959334380080083, 0.32193549131015914, 0.4222159812588719, 0.28961163797425216, 0.43588922316893103, 0.39114004011309095, 0.46722730348147573, 0.43156322179968126
gensim_BNC, 0.5869678795960146, 0.09693149052562781, 0.2794289462770764, 0.3774277351829967, 0.1803088896203049, 0.3356333031154331, 0.31280387602352244, 0.39735195259557515, 0.37445417135447373
gensim_cbow, 0.37710963524656355, 0.2684988812293837, 0.3259833184318197, 0.4138296743750289, 0.2426937040990112, 0.416399393981951, 0.40741516670293365, 0.49371223589700486, 0.4160516912190404
glove, 0.5702670872797047, 0.34427076265324, 0.2826888998277542, 0.38360316247630527, 0.1958497299838295, 0.32069819218875456, 0.304815252090078, 0.3902232642318782, 0.38595486761573233
fasttext, 0.5478653201579582, 0.39437912620089066, 0.3134115331912741, 0.41397100224091343, 0.2609174276200276, 0.3996044409420631, 0.3743921439904218, 0.45048948785954607, 0.42068160944931793
elmo, 0.4955826759729762, 0.34036723344927505, 0.3421108025432803, 0.4186246602604774, 0.3735489864154483, 0.4993026300964574, 0.41464253867885076, 0.4787269344752472, 0.42830171648804466
conceptnet, 0.7654269930352928, 0.493453553147891, 0.5720560666669838, 0.6794904434932256, 0.5327983325484368, 0.7056321059380587, 0.6645315285994405, 0.7500766571489534, 0.684290347979057
wordnet,,, 0.4947440922671204, 0.5830105084866704, 0.4565691954076892, 0.5948394155898058, 0.5877601365212257, 0.6782863564254697, 0.5942381579522567
bert_large, 0.5750297538518088, 0.4819159194316897, 0.3144365545166882, 0.3990709659316619, 0.41891365349803583, 0.5597212148142415, 0.45449760911373477, 0.5280254812974988, 0.42834619141219477
gpt2_large, 0.5819644808824141, 0.48800751652535784, 0.40571538791930667, 0.4926586464197002, 0.4829037249430894, 0.6023716461092067, 0.5321882053950588, 0.6120407413761805, 0.5128063986712874
electra_large, 0.6359486636129726, 0.5148314590923254, 0.37976770529470105, 0.47319582580119307, 0.42302624720023624, 0.5777566671501094, 0.5231269204992969, 0.6186311368950642, 0.49976553474536467
albert_xxlarge, 0.6853096949897943, 0.5539592613552525, 0.42668770159495817, 0.5067821832412013, 0.48237559749473374, 0.6291349497782494, 0.5755204899214719, 0.6537891873623121, 0.5350240103361139
sembert, 0.6508740563857469, 0.5259286637020516, 0.35129803197038983, 0.4397996502905093, 0.3962716287495293, 0.5317758358844513, 0.4577584663259222, 0.5353701664120156, 0.4636728712268723
ernie_base_0, 0.6487922704803067, 0.5676648520430531, 0.3909395094269984, 0.49221423671838477, 0.4361877535689668, 0.5921122442472101, 0.5318808061004341, 0.6227204427081142, 0.5179958755093916
ernie_context_5, 0.5955220773966863, 0.43488642270569233, 0.45417460907166873, 0.5356745931109023, 0.43924354395550647, 0.5449782349005934, 0.5368481548841089, 0.5930933638403473, 0.5404739553136494
ernie_context_5_v, 0.6469758370490162, 0.5096005313952766, 0.48982650251654924, 0.5698091613978017, 0.4862836309287757, 0.5975819385591645, 0.5881945202695728, 0.645500375428184, 0.5793238958495777
ernie_oxford_5,, 0.5921788780520384, 0.5254686083343847, 0.6110510748224227, 0.47933179031063583, 0.6367437229887182, 0.6254242345189538, 0.7062065089502048, 0.6218383941085514
ernie_dictionary_mean_5,,,, 0.6157381431888702,, 0.6291597084532196,, 0.7059545677156654, 0.6264785828669814
ernie_dictionary_max_5,,,, 0.6241010340088977,, 0.6536696847316485,, 0.7191315237634024, 0.6361720407845648
