Nouns,RG65,MT287,MT771,WS198,RW,MEN,SL,MS,SE2017,TR1058,wtd_av
CW_vectors,0.467,0.553,0.487,0.587,0.378,0.565,0.311,0.400,0.555,0.430,0.466
dissect_ppmi,0.735,0.633,0.631,0.654,0.399,0.711,0.402,0.504,0.671,0.582,0.573
word2vec_skip,0.698,0.706,0.640,0.763,0.424,0.740,0.381,0.475,0.669,0.599,0.590
gensim_skip,0.714,0.644,0.619,0.770,0.490,0.727,0.395,0.502,0.723,0.636,0.607
gensim_BNC,0.753,0.666,0.670,0.753,0.414,0.764,0.404,0.516,0.717,0.595,0.605
gensim_cbow,0.680,0.618,0.567,0.737,0.488,0.704,0.481,0.518,0.661,0.584,0.593
glove,0.771,0.704,0.714,0.798,0.460,0.801,0.428,0.546,0.718,0.614,0.639
fasttext,0.711,0.654,0.631,0.782,0.494,0.738,0.398,0.505,0.725,0.645,0.615
elmo,0.717,0.582,0.613,0.734,0.472,0.644,0.460,0.540,0.694,0.532,0.570
conceptnet,0.924,0.746,0.820,0.849,0.631,0.866,0.619,0.704,0.842,0.723,0.756
wordnet,0.560,0.482,0.556,0.575,0.434,0.448,0.527,0.567,0.615,0.405,0.478
bert_large,0.772,0.550,0.670,0.752,0.348,0.665,0.505,0.592,0.690,0.489,0.558
gpt2_large,0.649,0.614,0.718,0.749,0.455,0.687,0.514,0.568,0.625,0.625,0.604
electra_large,0.795,0.645,0.705,0.781,0.381,0.723,0.508,0.586,0.729,0.570,0.600
albert_xxlarge,0.760,0.683,0.709,0.778,0.415,0.726,0.525,0.599,0.730,0.554,0.610
sembert,0.761,0.612,0.688,0.775,0.398,0.698,0.512,0.600,0.718,0.502,0.587
ernie_base_0,0.784,0.625,0.702,0.770,0.422,0.730,0.518,0.587,0.722,0.608,0.615
ernie_context_5,0.679,0.701,0.656,0.747,0.410,0.737,0.518,0.574,0.636,0.531,0.599
ernie_context_5_n,0.683,0.681,0.659,0.741,0.392,0.718,0.547,0.593,0.639,0.507,0.590
