bay cliff,-0.2785012540688293,0.58,0.30149874593117065
cliff coast,-0.22286981495542824,0.68,0.4571301850445718
air cold,-0.4720205410777469,0.7,0.22797945892225308
crystal dirt,-0.20752735462324995,0.36,0.15247264537675004
dawn dusk,-0.1225932246673559,0.76,0.6374067753326441
day dusk,-0.5394446562834984,0.76,0.22055534371650165
day evening,-0.07691354046287513,0.62,0.5430864595371249
burn fire,-0.25689488255106185,0.84,0.5831051174489381
burn flame,-0.4082687558542476,0.92,0.5117312441457524
fire flame,-0.22207397388464112,0.86,0.6379260261153589
cold frost,-0.35061561958578963,0.78,0.4293843804142104
coast hill,-0.10945150591485481,0.56,0.45054849408514525
cloud mist,-0.21876637488687223,0.74,0.5212336251131278
cold mist,-0.2510583619709376,0.54,0.2889416380290624
fog mist,-0.07631438110468336,0.74,0.6636856188953166
cloud misty,-0.1787663748868722,0.7,0.5212336251131278
cold misty,-0.21105836197093758,0.5,0.2889416380290624
dawn misty,-0.48298472564741035,0.62,0.13701527435258964
day misty,-0.6390257309376992,0.72,0.08097426906230072
dusk misty,-0.29730754083914746,0.54,0.24269245916085255
evening misty,-0.4397007945805218,0.46,0.020299205419478245
fog misty,-0.15631438110468332,0.82,0.6636856188953166
mist misty,0.08000000000000018,0.92,1.0000000000000002
dawn morning,-0.21263240507516057,0.78,0.5673675949248395
day morning,-0.2397553249704948,0.82,0.5802446750295052
dusk morning,-0.2133634854552801,0.66,0.4466365145447199
evening morning,0.06031422620208715,0.64,0.7003142262020872
mist morning,-0.5822738015965699,0.66,0.07772619840343012
misty morning,-0.48227380159656996,0.56,0.07772619840343012
canyon mountain,-0.21145441711596857,0.7,0.4885455828840314
desert mountain,-0.1199718222311098,0.62,0.5000281777688902
misty mountain,-0.2687009749898979,0.46,0.1912990250101021
flood neon,-0.05938272244162843,0.2,0.14061727755837158
light neon,-0.46664982381718834,0.7,0.2333501761828116
dawn night,-0.34998067926523835,0.72,0.3700193207347616
day night,-0.18152607547526678,0.78,0.5984739245247332
evening night,-0.051178248791015846,0.84,0.7888217512089841
morning night,-0.13533079369032552,0.74,0.6046692063096745
cloud rain,-0.307564849089765,0.8,0.49243515091023504
cold rain,-0.282007339297154,0.62,0.337992660702846
frost rain,-0.12764691904972963,0.56,0.4323530809502704
mist rain,-0.36115588971675217,0.82,0.4588441102832478
misty rain,-0.32115588971675224,0.78,0.4588441102832478
canyon river,-0.2924881727105082,0.72,0.4275118272894918
ford river,-0.18466821708211256,0.54,0.3553317829178875
cliff sand,-0.055662224401103355,0.42,0.36433777559889663
fire sand,-0.3182128612362458,0.46,0.14178713876375423
mud sand,-0.04013301957927207,0.64,0.599866980420728
cliff scenery,-0.2578430619952078,0.54,0.28215693800479225
coast scenery,-0.31782164726904644,0.58,0.2621783527309535
desert scenery,-0.5219637842969398,0.66,0.13803621570306027
lake scenery,-0.3291375542836252,0.56,0.23086244571637488
landscape scenery,-0.14961574626401197,0.76,0.610384253735988
misty scenery,-0.2896795177976288,0.52,0.23032048220237122
mountain scenery,-0.44032563435480404,0.74,0.29967436564519595
river scenery,-0.3718329797481788,0.56,0.18816702025182125
bay sea,-0.3545682242961965,0.78,0.4254317757038035
cliff sea,-0.18788873961460129,0.54,0.35211126038539875
coast sea,-0.3638480049720237,0.86,0.4961519950279763
mountain sea,-0.09927591329331659,0.52,0.42072408670668343
ocean sea,-0.15203422842862524,0.92,0.7679657715713748
sand sea,-0.3700926699702499,0.76,0.3899073300297501
light shadow,-0.3084877763405355,0.74,0.4315122236594645
bay shore,-0.41677815457500483,0.78,0.3632218454249952
cliff shore,0.03628449247716259,0.42,0.4562844924771626
coast shore,-0.07834737827343996,0.8,0.7216526217265601
lake shore,-0.3396558613180239,0.78,0.44034413868197614
sand shore,-0.4766695281931598,0.8,0.32333047180684027
scenery shore,-0.17513527565973686,0.46,0.28486472434026316
sea shore,-0.3862241258327795,0.86,0.4737758741672205
cloud sky,-0.2888575830930602,0.84,0.5511424169069398
mist sky,-0.25793083466558725,0.6,0.34206916533441273
misty sky,-0.09793083466558727,0.44,0.34206916533441273
moon sky,-0.29159245224640623,0.74,0.44840754775359376
morning sky,-0.38418070772867324,0.66,0.2758192922713268
rain sky,-0.34113135377202985,0.74,0.39886864622797014
desert smoke,-0.08818052418634606,0.22,0.13181947581365394
fire smoke,-0.6169258883659607,0.88,0.26307411163403926
