dataset,conceptnet
0.014,0.233
0.014,0.301
0.014,0.521
0.014,0.296
0.014,0.170
0.014,0.427
0.014,0.279
0.014,-0.011
0.014,0.090
0.000,0.271
0.014,0.364
0.014,0.081
0.014,0.450
0.014,0.154
0.014,0.389
0.014,0.217
0.014,0.026
0.014,-0.002
0.014,0.372
0.014,0.549
0.000,0.099
0.014,0.238
0.014,0.152
0.000,0.154
0.110,0.372
0.000,0.197
0.014,0.378
0.014,0.299
0.041,0.307
0.000,0.145
0.055,0.308
0.014,0.414
0.192,0.368
0.014,0.428
0.014,0.291
0.000,0.188
0.014,0.227
0.014,0.245
0.014,0.220
0.014,0.300
0.383,0.564
0.014,0.059
0.014,0.424
0.014,0.145
