dataset,ernie_5_wiki_v
0.000,0.233
0.100,0.301
0.050,0.185
0.184,0.371
0.066,0.249
0.083,0.154
0.015,0.156
0.033,0.199
0.116,0.115
0.150,0.031
0.116,0.170
0.066,0.427
0.150,0.195
0.017,0.208
0.116,0.187
0.017,0.069
0.150,0.098
0.184,0.100
0.167,0.296
0.100,0.388
0.106,0.304
0.066,0.102
0.066,0.415
0.050,0.066
0.066,-0.011
0.184,0.343
0.033,0.312
0.100,0.340
0.137,0.285
0.100,0.231
0.000,0.401
0.050,0.052
0.134,0.271
0.066,0.039
0.200,0.364
0.050,0.172
0.000,0.496
0.050,0.203
0.050,0.408
0.033,0.216
0.150,0.235
0.184,0.372
0.100,0.149
0.000,0.338
0.050,0.184
0.134,0.125
0.100,0.154
0.017,0.689
0.100,0.211
0.033,0.277
0.033,0.332
0.033,0.046
0.316,0.141
0.033,0.389
0.033,0.139
0.134,0.155
0.050,0.217
0.050,0.004
0.083,0.217
0.083,0.259
0.030,0.215
0.033,0.372
0.200,0.298
0.000,0.110
0.083,0.556
0.015,0.289
0.134,0.428
0.050,0.043
0.083,0.174
0.066,0.292
0.033,-0.003
0.000,0.471
0.134,0.531
0.083,0.169
0.184,0.048
0.000,0.031
0.017,0.372
0.033,0.045
0.100,0.139
0.015,0.402
0.300,0.556
0.091,0.293
0.116,0.243
0.017,0.099
0.116,0.299
0.100,0.681
0.083,0.180
0.150,0.424
0.150,0.307
0.033,0.255
0.033,0.193
0.150,0.273
0.017,0.184
0.050,0.368
0.033,0.042
0.066,0.277
0.017,0.208
0.017,0.351
0.066,0.552
0.116,0.238
0.050,0.152
0.033,0.226
0.017,0.507
0.050,0.227
0.033,0.146
0.066,0.085
0.167,0.085
0.116,0.281
0.000,0.396
0.150,0.285
0.083,0.197
0.116,0.108
0.150,0.305
0.250,0.257
0.000,0.297
0.030,0.080
0.033,-0.035
0.184,0.213
0.050,0.307
0.116,0.224
0.017,0.223
0.100,0.300
0.083,0.239
0.000,0.277
0.116,0.203
0.033,0.393
0.250,0.542
0.100,0.323
0.316,0.097
0.033,0.093
0.050,0.363
0.134,0.498
0.200,0.478
0.316,0.478
0.167,0.496
0.258,0.231
0.000,0.378
0.066,0.241
0.283,0.463
0.017,0.279
0.017,0.247
0.015,0.337
0.116,0.145
0.066,0.095
0.350,0.392
0.050,0.130
0.017,0.277
0.050,0.238
0.100,0.131
0.033,0.111
0.017,0.183
0.000,0.162
0.033,0.312
0.150,0.145
0.000,0.092
0.033,0.127
0.000,0.221
0.017,0.044
0.017,0.464
0.100,0.118
0.000,0.135
0.017,0.066
0.050,0.288
0.050,0.308
0.200,0.484
0.017,0.100
0.184,0.195
0.116,0.174
0.050,0.242
0.167,0.023
0.316,0.368
0.100,0.112
0.050,0.313
0.000,0.203
0.200,0.249
0.083,0.428
0.066,0.131
0.150,0.278
0.182,0.306
0.066,0.389
0.150,0.245
0.033,0.187
0.150,0.283
0.066,0.291
0.233,0.245
0.045,0.302
0.066,0.380
0.050,0.124
0.083,0.521
0.033,0.017
0.083,0.188
0.050,0.307
0.017,0.231
0.017,0.125
0.083,0.124
0.033,0.174
0.083,0.062
0.033,0.206
0.017,0.035
0.217,0.465
0.050,0.211
0.033,0.084
0.083,0.174
0.100,0.300
0.033,0.294
0.100,0.218
0.300,0.564
0.050,0.191
0.066,0.197
0.100,0.059
0.100,0.349
0.267,0.115
0.017,-0.029
0.017,0.266
0.066,0.422
0.134,0.482
0.033,0.342
0.017,0.293
0.116,0.359
0.066,0.054
0.050,0.138
0.116,0.086
0.083,0.312
0.116,0.511
0.150,0.389
0.116,0.206
0.050,0.140
0.066,0.094
0.167,0.364
0.150,-0.037
0.300,0.242
0.100,0.199
0.033,0.436
0.083,0.430
0.150,0.243
0.033,0.162
0.167,0.315
