dataset,conceptnet
0.014,0.225
0.014,0.464
0.014,0.636
0.014,0.421
0.014,0.368
0.014,0.743
0.014,0.402
0.014,0.431
0.014,0.300
0.000,0.344
0.014,0.377
0.014,0.177
0.014,0.517
0.014,0.220
0.014,0.497
0.014,0.285
0.014,0.124
0.014,0.529
0.014,0.383
0.014,0.597
0.000,0.180
0.014,0.381
0.014,0.247
0.000,0.215
0.110,0.615
0.000,0.265
0.014,0.442
0.014,0.391
0.041,0.460
0.000,0.289
0.055,0.386
0.014,0.377
0.192,0.488
0.014,0.617
0.014,0.489
0.000,0.371
0.014,0.550
0.014,0.484
0.014,0.247
0.014,0.388
0.383,0.623
0.014,0.391
0.014,0.473
0.014,0.364
